anio,precipitacion,produccion_agricola,energia_per_capita
2005,15.50,527000,1.21
2006,14.32,531000,1.17
2007,17.3,535000,1.13
2008,64,539000,1.26
2009,18.26,543000,1.3
2010,42.37,547000,1.29
2011,56.92,551000,1.39
2012,40.67,555000,1.51
2013,15.61,559000,1.5
2014,18.5,563000,1.7
2015,36.45,567000,1.9
2016,9.13,571000,1.83
2017,19.46,575000,1.9
2018,54.2,579000,1.92
2019,48.3,583000,2.06
2020,17.3,587000,1.82
2021,32.3,591000,1.84
2022,29.4,595000,1.87
2023,48.4,599000,1.84
2024,52.3,603000,1.81
